mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_neighbors,param_model__p,param_model__weights,params,split0_test_f1_micro,split1_test_f1_micro,split2_test_f1_micro,split3_test_f1_micro,split4_test_f1_micro,mean_test_f1_micro,std_test_f1_micro,rank_test_f1_micro,split0_train_f1_micro,split1_train_f1_micro,split2_train_f1_micro,split3_train_f1_micro,split4_train_f1_micro,mean_train_f1_micro,std_train_f1_micro,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,split3_test_f1_macro,split4_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,split0_train_f1_macro,split1_train_f1_macro,split2_train_f1_macro,split3_train_f1_macro,split4_train_f1_macro,mean_train_f1_macro,std_train_f1_macro,feature_group,genre_labels
0.17220139503479004,0.05802579559254197,4.427154445648194,0.4096056708215192,5,2,distance,"{'model__n_neighbors': 5, 'model__p': 2, 'model__weights': 'distance'}",0.5586638830897703,0.5486430062630481,0.5519832985386222,0.5402922755741127,0.5451127819548872,0.5489390490840881,0.006218271541324138,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.46148743625349875,0.4714813553571121,0.4681481784221081,0.45038650721711776,0.4712951910924253,0.46455973366845243,0.007955771850774227,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,combined + audio,"mpb,sertanejo,gospel,samba,pagode"
0.1276087760925293,0.00404433505115344,2.739654016494751,1.435593545879621,3,1,distance,"{'model__n_neighbors': 3, 'model__p': 1, 'model__weights': 'distance'}",0.5503131524008351,0.5444676409185804,0.554070981210856,0.5507306889352819,0.5275689223057645,0.5454302771542636,0.009450431396098316,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.4675328826076754,0.47853260425996974,0.4724161367642835,0.470528570108665,0.4634363181584066,0.4704893023798,0.005037736438749731,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,combined + audio,"mpb,sertanejo,gospel,samba,pagode"
0.8527072429656982,0.38514156165193325,6.560134696960449,1.5523988139557436,4,2,distance,"{'model__n_neighbors': 4, 'model__p': 2, 'model__weights': 'distance'}",0.5515657620041754,0.5482254697286012,0.5432150313152401,0.5432150313152401,0.5309106098579783,0.5434263808442471,0.0070144798868351866,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.46276582837212665,0.47552113196099227,0.4598925746604731,0.4580771289536495,0.4579829280544979,0.46284791840034795,0.00656931808268093,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,combined + audio,"mpb,sertanejo,gospel,samba,pagode"
0.01299905776977539,0.0026077845953093814,1.883525562286377,0.5152215407458604,3,2,distance,"{'model__n_neighbors': 3, 'model__p': 2, 'model__weights': 'distance'}",0.5549060542797495,0.5382045929018789,0.5457202505219206,0.5361169102296451,0.5338345864661654,0.541756478879872,0.007691551557429735,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.4841766513264706,0.4758809606481237,0.4729684879505373,0.46894726681923116,0.46298135612789587,0.4729909445744517,0.007071292999242648,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,audio,"mpb,sertanejo,gospel,samba,pagode"
0.3093098163604736,0.07659223659551595,7.623888921737671,1.8570640139887755,10,1,distance,"{'model__n_neighbors': 10, 'model__p': 1, 'model__weights': 'distance'}",0.5457202505219206,0.5365344467640919,0.5394572025052192,0.5290187891440501,0.5325814536340853,0.5366624285138734,0.005743707153151519,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.4284448954112013,0.4329177666381134,0.42244677712274514,0.4091457030176554,0.4209812465765076,0.42278727775324454,0.008051157595867258,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,combined,"mpb,sertanejo,gospel,samba,pagode"
0.014597368240356446,0.0007995434274187523,0.9099356651306152,0.36643790776216595,3,1,distance,"{'model__n_neighbors': 3, 'model__p': 1, 'model__weights': 'distance'}",0.5586638830897703,0.5260960334029228,0.5407098121085595,0.5298538622129436,0.5208855472013367,0.5352418276031065,0.013396044545642416,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.48072653696834744,0.46386674816948703,0.4716314908720861,0.4624381532787948,0.4564254183915583,0.46701766953605467,0.008394241508485216,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0,audio,"mpb,sertanejo,gospel,samba,pagode"
0.12735557556152344,0.0034125184058386143,3.6890957832336424,0.8527555563500602,3,2,distance,"{'model__n_neighbors': 3, 'model__p': 2, 'model__weights': 'distance'}",0.5327766179540709,0.524008350730689,0.5235908141962422,0.5152400835073069,0.5146198830409356,0.522047149885849,0.0066760937493627924,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.4507145369330946,0.455423331870113,0.44362283319647744,0.437011517371222,0.4507503062904298,0.4475045051322673,0.0064609212252621775,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0,combined + audio,"mpb,sertanejo,gospel,samba,pagode"
0.7224583625793457,0.10406112975236309,6.781608295440674,1.130549924372982,10,2,distance,"{'model__n_neighbors': 10, 'model__p': 2, 'model__weights': 'distance'}",0.5235908141962422,0.504384133611691,0.5006263048016701,0.5022964509394572,0.49665831244778613,0.5055112031993693,0.009388430739603265,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.4036624632721607,0.39363501258856876,0.3897875490073302,0.38199271491237974,0.38956040786140356,0.3917276295283686,0.0070612703020457475,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,combined,"mpb,sertanejo,gospel,samba,pagode"
0.15394234657287598,0.11171095565540938,3.3430362701416017,0.39494217439330825,5,1,distance,"{'model__n_neighbors': 5, 'model__p': 1, 'model__weights': 'distance'}",0.5127348643006263,0.5018789144050104,0.518580375782881,0.4939457202505219,0.49164578111946533,0.503757131171701,0.010457576731841634,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.41388133848764613,0.41400691643658327,0.413879197386729,0.4006678268506221,0.40610750982810834,0.4097085577979378,0.005440304822216833,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,combined,"mpb,sertanejo,gospel,samba,pagode"
0.12332692146301269,0.01705353078337342,4.177154922485352,0.09273055015453595,4,1,distance,"{'model__n_neighbors': 4, 'model__p': 1, 'model__weights': 'distance'}",0.5022964509394572,0.49227557411273487,0.5039665970772442,0.48893528183716073,0.48454469507101083,0.4944037198075216,0.007554826445205182,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.4048672575836978,0.4081910536896881,0.40331328561775664,0.3964094429809089,0.406064381860254,0.4037690843464611,0.004009994052835536,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,combined,"mpb,sertanejo,gospel,samba,pagode"
